"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.47543426992761","6.91818004099629","6.26423402036381","4.56664085880443","4.7911252191093","6.52813758772899","5.03292510547116","4.05692612365099","6.98825052743605","6.89090544941648","6.31195251913281","4.173555703149","10.7168994077419","10.9268022161988","15.8732150965808","6.5616266959082","7.4436009598491","6.59693654738304","5.65140675648298","5.81220501905943","4.98494317887425","5.98090699034845","8.84545006574638","11.658484092447","4.79578773803402","8.21727796856164","10.6993243243243","4.85160128102481","4.358079175325","8.40653990156212","8.19771800178289","5.30674713877105","2.6246349935441","13.1222785356547","","",
"Africa Eastern and Southern","AFE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0468971069496","-3.58511110954092","12.5579601455576","17.5429289290522","11.3640937400601","-1.24150600219686","7.17438724378046","9.78449593802674","14.3516893399556","12.2525481623247","17.5839381607368","12.1411782947912","","","","","",
"Africa Western and Central","AFW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-84.0950001791546","-93.5134588840176","-29.522706549011","4.04755887747496","-72.5785001611618","-60.7813270387995","-5.03293321688833","-33.5534010972108","1.12848545105309","36.637631010914","17.8008885879542","2.04511438093863","12.8373163086327","-5.7237243028611","38.9777135503302","-7.3537934545694","-9.8763568407953","8.76470624625945","12.6108021772518","12.3805297698054","21.1441815303596","-4.92206319481748","-5.55263828290668","-5.84400335337447","0.09091878728126","8.02865685308567","-13.9926687818887","3.28138900891798",
"Albania","ALB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50195315750929","1.00030915479634","1.00058436844594","0.996284184948068","1.43757004142398","-25.4690910605039","-63.7871204806729","-42.573513957233","-8.96318218802336","8.80174501595399","-10.2869748423574","19.2994943065822","","19.110289294822","15.5754116055596","15.2617073910542","11.2464777871879","8.62387425855812","8.34605448112112","9.4555054819425","10.2087615799994","9.30474143806301","8.55052487389148","10.0007474139424","7.97103659621924","9.88846223555399","9.73611207346728","9.51039749125922","6.32455753333484","7.27249242163997","7.41372325944537","4.70106853289222","4.39481296172994","4.95650401841986","5.38676975341908","2.48151251479627","-2.89293004389159",
"Andorra","AND","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.56602872006595","-7.77340523607891","-6.74819555440488","-5.48583918237899","-11.6006987702161","-1.31470878459509","-7.00603984304116","0.455892832330463","4.56440909873515","12.1039696489828","-7.63108287070969","-12.0621392648759","-10.1858809752161",
