,country,date,inflation_annual%,real_interest_rate,risk_premium_on_lending,doing_business,GDP_current_US,gini_index
16009,United States,2008-01-01,3.83910029665101,3.10992082507062,3.6275,,14769857911000.0,40.8
16010,United States,2009-01-01,-0.35554626629975,2.59242897114548,3.09,,14478064934000.0,40.6
16011,United States,2010-01-01,1.64004344238989,2.02388548830537,3.11583333333333,,15048964444000.0,40.0
16012,United States,2011-01-01,3.15684156862206,1.14842519072757,3.1925,,15599728123000.0,40.9
16013,United States,2012-01-01,2.06933726526059,1.35407520046539,3.1625,,16253972230000.0,40.9
16014,United States,2013-01-01,1.46483265562714,1.47325427864866,3.19083333333333,,16843190993000.0,40.7
16015,United States,2014-01-01,1.62222297740821,1.35477579214004,3.215,,17550680174000.0,41.5
16016,United States,2015-01-01,0.118627135552435,2.23707549539748,3.2075,,18206020741000.0,41.2
16017,United States,2016-01-01,1.26158320570537,2.48453034184575,3.19416666666667,,18695110842000.0,41.1
16018,United States,2017-01-01,2.13011000365963,2.15609905051382,3.16583333333334,,19477336549000.0,41.2
16019,United States,2018-01-01,2.44258329692818,2.44141502630097,2.965,,20533057312000.0,41.4
16020,United States,2019-01-01,1.81221007526015,3.42708988830508,3.21083333333333,6.0,21380976119000.0,41.5
16021,United States,2020-01-01,1.23358439630637,2.2104106796787,3.1625,,21060473613000.0,39.7
16022,United States,2021-01-01,4.69785886363739,-1.18935690125342,3.20611111111111,,23315080560000.0,
16023,United States,2022-01-01,8.00279982052117,,,,25462700000000.0,
